timeDuration,IS,gender(M/F),Stu/Work,IE,AE,congruency,score(1)/evaluator(2),I_H/M/L,AS,A_H/M/L,AS-IS,SS,SF,ES,EF,age
448,7,2,1,2,2,1,1,3,4,2,-3,4,5,4,5,21
322,8,1,1,2,1,0,1,3,4,2,-4,1,1,1,1,18
517,3,2,1,2,2,1,1,1,8,3,5,4,3,4,3,21
297,7,2,1,1,1,1,1,3,7,3,0,6,6,6,5,23
512,7,1,1,1,1,1,1,3,7,3,0,7,7,7,7,20
521,3,1,2,1,2,0,1,1,3,1,0,7,7,7,7,44
280,5,1,2,1,2,0,1,2,7,3,2,7,6,6,5,42
327,7,2,2,2,1,0,1,3,8,3,1,7,5,7,6,22
699,5,2,2,1,2,0,1,2,3,1,-2,7,7,7,7,41
490,4,2,2,1,2,0,1,2,3,1,-1,7,7,7,7,33
529,2,2,2,2,2,1,1,1,7,3,5,7,7,7,7,52
472,6,1,1,2,2,1,1,2,4,2,-2,3,3,5,5,23
336,6,2,1,2,2,1,2,2,7,3,1,5,6,5,5,22
672,8,2,1,2,2,1,2,3,3,1,-5,3,3,3,3,19
466,6,2,2,1,1,1,1,2,6,2,0,6,6,6,6,48
438,6,1,1,2,2,1,2,2,6,2,0,7,7,7,7,18
444,7,1,1,2,1,0,1,3,6,2,-1,6,6,6,6,18
469,4,2,1,2,2,1,2,2,6,2,2,5,6,7,6,18
563,6,1,1,1,1,1,2,2,4,2,-2,2,3,3,4,19
446,5,1,1,2,2,1,1,2,8,3,3,6,5,7,5,22
448,4,2,1,1,1,1,2,2,2,1,-2,4,6,5,6,19
386,5,2,1,1,1,1,2,2,8,3,3,5,5,5,5,21
447,2,2,1,1,2,0,1,1,5,2,3,6,6,6,6,22
200,4,2,1,2,1,0,2,2,4,2,0,4,3,4,5,21
486,3,1,1,1,1,1,1,1,3,1,0,4,7,4,7,20
469,5,2,1,1,1,1,2,2,5,2,0,6,7,6,7,20
456,5,2,1,2,1,0,2,2,3,1,-2,5,6,5,6,20
483,5,1,1,1,1,1,2,2,5,2,0,6,7,7,6,23
570,2,2,1,2,1,0,2,1,3,1,1,6,6,6,6,20
438,5,2,1,2,2,1,1,2,5,2,0,7,7,6,7,20
380,7,1,1,1,2,0,1,3,8,3,1,6,6,6,6,20
690,4,1,1,2,1,0,1,2,3,1,-1,5,6,5,5,20
271,9,1,1,2,1,0,1,3,8,3,-1,7,7,7,7,20
595,4,1,1,2,1,0,1,2,8,3,4,7,1,2,1,19
498,2,2,1,2,1,0,1,1,8,3,6,7,1,7,3,19
453,5,1,1,1,2,0,1,2,4,2,-1,4,6,4,5,24
654,7,1,1,2,1,0,1,3,3,1,-4,1,1,1,2,19
512,6,2,1,2,2,1,1,2,3,1,-3,2,3,2,3,19
363,6,1,1,1,1,1,1,2,4,2,-2,2,2,2,2,20
507,2,2,2,1,2,0,2,1,7,3,5,3,3,4,3,36
604,6,2,1,2,1,0,2,2,4,2,-2,4,4,4,4,20
443,6,2,1,2,1,0,1,2,3,1,-3,6,6,6,5,23
387,6,2,1,1,1,1,1,2,9,3,3,6,5,6,5,20
386,5,1,1,1,1,1,1,2,8,3,3,6,5,5,5,20
575,4,1,1,2,1,0,2,2,7,3,3,6,6,5,5,21
485,5,1,1,2,1,0,2,2,7,3,2,7,7,6,7,20
469,7,2,1,2,2,1,2,3,6,2,-1,5,5,5,5,20
484,3,2,1,1,1,1,1,1,5,2,2,5,5,4,5,19
455,10,1,1,2,2,1,1,3,8,3,-2,7,7,7,7,20
546,3,2,1,2,1,0,2,1,3,1,0,6,7,7,7,20
509,1,2,2,1,2,0,2,1,2,1,1,6,6,6,6,24
610,8,2,1,2,2,1,2,3,3,1,-5,4,3,4,3,20
494,2,1,2,1,2,0,1,1,4,2,2,7,7,7,7,48
373,8,1,2,1,1,1,1,3,4,2,-4,2,2,2,2,35
491,5,1,1,1,1,1,2,2,6,2,1,7,7,7,7,19
425,7,2,1,2,2,1,1,3,2,1,-5,2,4,4,4,25
654,4,2,1,1,2,0,2,2,4,2,0,3,4,4,4,24
407,6,2,2,1,1,1,1,2,7,3,1,7,7,7,7,0
655,4,2,2,2,1,0,2,2,4,2,0,6,6,6,6,34
529,6,2,1,1,1,1,1,2,6,2,0,5,6,5,6,20
852,6,1,1,1,1,1,1,2,8,3,2,7,7,7,4,20
436,5,2,1,2,1,0,2,2,5,2,0,7,7,7,7,22
409,7,2,1,2,2,1,1,3,6,2,-1,5,5,5,6,21
555,6,2,1,1,1,1,1,2,3,1,-3,2,4,3,4,20
432,5,2,1,1,1,1,2,2,8,3,3,6,5,5,5,22
535,3,2,1,1,2,0,2,1,5,2,2,7,6,7,6,22
549,6,1,1,2,2,1,1,2,5,2,-1,7,7,7,7,23
558,4,2,1,2,1,0,2,2,7,3,3,7,7,7,5,22
516,6,2,1,2,2,1,1,2,7,3,1,6,6,7,7,21
645,2,1,1,1,2,0,2,1,5,2,3,4,4,5,3,22
255,1,1,2,2,2,1,1,1,6,2,5,6,6,6,6,41
644,5,2,1,2,2,1,2,2,2,1,-3,3,3,3,3,22
368,8,2,1,1,2,0,2,3,6,2,-2,4,5,6,5,23
454,5,1,1,2,2,1,2,2,6,2,1,7,7,7,7,22
464,8,1,1,2,1,0,1,3,7,3,-1,6,7,7,6,23
566,5,1,1,2,1,0,2,2,7,3,2,4,5,5,5,23
405,5,2,1,1,2,0,2,2,8,3,3,7,5,7,5,22
451,6,2,1,1,2,0,2,2,5,2,-1,6,6,6,6,22
382,5,2,1,2,2,1,1,2,3,1,-2,4,6,5,6,22
458,6,2,1,2,1,0,2,2,3,1,-3,2,3,2,3,23
477,10,1,1,1,2,0,2,3,2,1,-8,2,3,2,3,22
429,4,1,1,2,1,0,1,2,7,3,3,6,5,6,5,23
450,2,1,1,1,1,1,2,1,4,2,2,7,5,7,5,22
434,7,2,1,1,1,1,2,3,7,3,0,7,7,6,7,22
264,3,1,1,1,2,0,2,1,4,2,1,7,7,7,7,21
516,4,2,2,1,2,0,2,2,6,2,2,6,6,6,6,30
623,7,2,1,2,1,0,1,3,6,2,-1,4,3,2,3,20
423,5,2,1,1,2,0,2,2,6,2,1,7,6,7,5,23
571,2,2,2,2,2,1,2,1,8,3,6,2,2,3,2,29
579,6,2,1,1,1,1,2,2,9,3,3,6,3,6,3,20
798,5,2,2,1,1,1,2,2,8,3,3,6,6,6,6,28
582,3,2,2,1,1,1,1,1,7,3,4,7,7,7,7,39
530,6,2,2,2,1,0,2,2,7,3,1,7,5,7,5,44
324,8,2,1,2,2,1,2,3,4,2,-4,2,2,2,2,20
448,3,2,2,2,1,0,1,1,5,2,2,5,6,6,6,34
422,2,1,1,1,2,0,2,1,3,1,1,7,7,7,7,17
245,7,2,1,1,2,0,2,3,7,3,0,7,6,6,6,24
440,1,2,2,1,2,0,2,1,4,2,3,7,5,7,7,24
592,3,1,2,1,1,1,2,1,5,2,2,3,2,1,2,29
377,5,2,1,1,1,1,1,2,4,2,-1,4,4,4,4,25
421,3,2,1,1,2,0,2,1,6,2,3,6,7,6,6,24
509,7,2,1,1,2,0,2,3,5,2,-2,4,5,4,5,24
603,8,2,1,2,1,0,2,3,6,2,-2,3,6,3,6,23
654,3,2,1,2,1,0,1,1,9,3,6,1,1,1,1,24
415,1,2,2,1,1,1,1,1,7,3,6,7,7,7,7,24
591,6,2,2,1,2,0,2,2,8,3,2,6,5,6,6,40
516,3,2,2,2,1,0,2,1,3,1,0,4,4,4,4,26
,,,,,,,,,,,,,,,,7.696582888
